LON,LAT,rating_date,score
-59.6513693,-30.9134026,2023-01-12,0
-59.63545838,-30.94325157,2022-04-04,1
-59.63545838,-30.94325157,2022-06-02,5
-59.61085693,-32.73077814,2020-01-08,1
-59.5682391,-32.9858604,2020-02-26,1
-59.4908333,-37.1429778,2022-09-15,2
-59.4819866,-34.3271211,2023-04-04,0
-59.4649783,-35.1060154,2020-02-21,1
-59.3598416,-37.5092168,2023-04-25,1
-59.3113836,-34.2497798,2020-02-21,2
-59.3094,-37.2625,2022-08-23,8
-59.28444246,-37.20313381,2022-02-13,1
-59.2840613,-37.2061205,2023-04-25,1
-59.2257568,-34.3824976,2022-03-25,0
-59.2257568,-34.3824976,2022-05-17,0
-59.1916,-37.25866,2022-09-14,5
-59.19115,-37.25865,2022-09-14,5
-59.191109,-37.25864,2022-09-14,5
-59.09469259,-37.41506473,2020-03-19,3
-59.0895821,-31.6166922,2021-01-27,0
-59.07975315,-37.4384489,2022-04-22,1
-59.0640814,-37.6307481,2021-02-22,1
-59.0454405,-38.1383995,2020-03-19,3
-59.04246244,-38.13851215,2022-03-25,1
-59.042287,-31.6353957,2021-04-19,3
-59.0278227,-38.1509534,2021-02-22,0
-59.00082514,-31.63990982,2022-04-04,1
-59.00082514,-31.63990982,2022-04-21,1
-58.9727252,-37.2865039,2020-03-19,1
-58.9623318,-37.2800875,2020-03-19,1
-58.89799788,-32.41625391,2022-11-23,0
-58.89799788,-32.41625391,2023-01-12,0
-58.82916831,-31.96017027,2021-11-29,1
-58.82916831,-31.96017027,2022-01-19,1
-58.80739129,-33.10550989,2023-01-12,0
-58.80463663,-33.09689901,2021-04-16,3
-58.80229879,-33.08410187,2021-11-30,2
-58.80229879,-33.08410187,2022-01-05,1
-58.7842011,-33.0914614,2021-01-11,0
-58.7842011,-33.0914614,2021-01-27,0
-58.78180117,-33.09490154,2020-01-07,1
-58.77645728,-33.10951867,2023-04-11,0
-58.75412964,-33.13162696,2022-04-04,1
-58.69177164,-32.40659111,2022-01-13,1
-58.6552773,-37.6368633,2023-04-25,1
-58.65348466,-37.634984,2020-03-19,2
-58.6258796,-38.3754732,2021-02-22,0
-58.62098487,-38.38210332,2022-02-13,1
-58.6197933,-32.22616,2023-01-12,0
-58.6101858,-35.7354225,2022-02-13,1
-58.56854067,-37.52990153,2022-03-25,1
-58.55289808,-37.83529099,2020-03-19,3
-58.5212566,-37.8277997,2023-04-25,1
-58.50951366,-37.83451706,2021-02-22,0
-58.4834428,-37.0732345,2023-04-25,1
-58.47975454,-37.80937575,2022-03-25,2
-58.4528507,-35.8439591,2023-04-25,0
-58.43769021,-37.97934983,2020-03-19,3
-58.4078117,-37.7179238,2021-04-09,1
-58.3939822,-31.0834884,2020-01-03,1
-58.359944,-31.056194,2021-11-26,2
-58.359944,-31.056194,2022-01-19,1
-58.3574502,-37.9855132,2020-03-19,2
-58.315916,-31.47324427,2023-01-12,0
-58.314106,-37.896166,2022-05-31,9
-58.305189,-37.89844,2022-06-01,9
-58.2612436,-37.7578958,2021-02-22,1
-58.1646086,-35.8156341,2022-02-13,2
-58.04802417,-37.80230257,2020-03-19,3
-57.92391489,-37.77700642,2021-02-22,0
-57.9172138,-38.1899389,2022-07-11,8
-57.6705649,-37.8722048,2022-06-10,9
-57.668391,-37.870836,2022-06-01,9
-57.4956126,-37.103355,2020-03-19,2
-57.451501,-37.0973025,2021-02-24,0
,,2023-02-25,1
