LON,LAT,rating_date,score,PRECTOTCORR_mean_win_1,PRECTOTCORR_mean_win_2,PRECTOTCORR_mean_win_3,RH2M_mean_win_1,RH2M_mean_win_2,RH2M_mean_win_3,T2M_mean_win_1,T2M_mean_win_2,T2M_mean_win_3,T2M_MAX_mean_win_1,T2M_MAX_mean_win_2,T2M_MAX_mean_win_3,T2M_MIN_mean_win_1,T2M_MIN_mean_win_2,T2M_MIN_mean_win_3,WS2M_mean_win_1,WS2M_mean_win_2,WS2M_mean_win_3,QTD_DIAS_PRECIP_MAIOR_3MM_win_1,QTD_DIAS_PRECIP_MAIOR_3MM_win_2,QTD_DIAS_PRECIP_MAIOR_3MM_win_3,QTD_MM_ACUMUL_win_1,QTD_MM_ACUMUL_win_2,QTD_MM_ACUMUL_win_3,QTD_DIAS_UMIDREL_MAIOR_80_win_1,QTD_DIAS_UMIDREL_MAIOR_80_win_2,QTD_DIAS_UMIDREL_MAIOR_80_win_3
-64.4268664,-26.37932407,2022-06-09,1,0.036,0.002,0.086,64.402,58.65,73.036,18.432,13.182,16.65,26.036,21.464,22.226,12.702,6.792,12.406,2.332,2.064,2.132,0,0,0,0.18,0.01,0.43,0,0,0
-64.41892451,-26.3265288,2021-04-09,0,123.024,3.206,13.336,86.124,83.102,83.39,22.456,21.018,23.76,26.604,26.118,28.034,18.14,17.262,20.094,2.792,2.262,2.088,3,2,4,615.12,16.03,66.68,4,5,5
-64.3921629,-33.6711747,2021-05-31,1,0,0,0.006,75.748,74.34,70.962,12.574,10.35,11.008,21.894,19.152,17.062,6.242,4.026,6.5,0.224,0.238,0.266,0,0,0,0,0,0.03,2,0,1
-64.3840154,-32.5546041,2023-02-13,0,5.778,3.606,3.874,74.938,59.538,56.914,23.488,24.428,26.374,30.354,31.706,34.636,17.232,18.038,19.024,0.364,0.384,0.436,2,2,2,28.89,18.03,19.37,1,0,0
-64.3837032,-32.55677747,2020-03-10,2,1.914,4.038,0,58.148,69.45,73.836,18.322,21.762,21.768,26.614,29.8,28.476,11.562,14.95,15.894,0.404,0.4,0.356,1,2,0,9.57,20.19,0,0,1,0
-64.3836999,-32.5574858,2022-05-11,1,0.564,0.57,0.032,54.852,66.248,49.662,17.296,16.31,15.212,26.902,24.702,23.738,9.458,9.376,8.842,0.512,0.422,0.456,0,0,0,2.82,2.85,0.16,0,0,0
-64.38228408,-32.55467302,2021-02-22,2,1.326,15.622,14.49,71.6,83.55,70.552,20.122,16.61,24.34,27.628,21.08,30.55,13.294,12.44,19.506,0.356,0.392,0.312,1,4,3,6.63,78.11,72.45,1,4,1
-64.37526378,-31.57341327,2023-03-21,0,3.398,0.33,2.678,57.602,52.524,64.426,25.138,24.602,21.844,33.228,33.35,29.57,18.618,17.546,16.156,0.264,0.322,0.256,1,0,1,16.99,1.65,13.39,0,0,1
-64.37181292,-26.74666397,2020-06-19,1,0.254,0,0.022,57.186,50.188,48.1,13.408,18.362,14.536,20.85,26.49,22.972,7.814,12.328,7.998,2.39,2.698,2.736,0,0,0,1.27,0,0.11,0,0,0
-64.32726407,-34.19025621,2022-05-11,1,0.452,1.334,0.018,59.136,67.488,62.976,16.252,15.742,14.062,26.64,23.636,23.4,8.284,8.88,6.73,0.174,0.214,0.242,0,1,0,2.26,6.67,0.09,0,0,0
-64.30624637,-32.80830216,2023-04-10,3,2.694,16.202,9.676,84.15,79.776,70.648,19.758,21.722,24.662,26.192,27.458,32.096,15.234,17.568,19.284,0.036,0.03,0.096,2,3,2,13.47,81.01,48.38,3,3,1
-64.29889298,-31.54943959,2021-03-25,2,0.774,2.104,0.63,58.902,65.288,64.788,22.51,23.612,22.812,30,30.778,30.404,16.28,17.568,16.408,0.298,0.314,0.262,1,1,0,3.87,10.52,3.15,0,0,0
-64.2712697,-24.6806792,2022-05-30,1,1.566,0.074,0,84.448,76.91,68.54,13.64,16.572,13.726,17.844,22.674,19.516,10.064,11.792,8.616,1.052,0.868,1.086,1,0,0,7.83,0.37,0,3,1,1
-64.2502302,-34.2057338,2023-02-02,0,3.686,5.846,0,54.65,52.864,36.638,26.516,24.58,28.738,35.506,33.122,38.844,18.36,16.848,18.708,0.084,0.094,0.128,2,2,0,18.43,29.23,0,0,0,0
-64.23416077,-34.19105781,2022-02-02,6,4.396,0,0,56.674,37.86,47.474,25.238,30.914,24.636,32.85,41.29,34.404,18.234,21.15,15.476,0.11,0.1,0.114,1,0,0,21.98,0,0,0,0,0
-64.2246754,-34.20197346,2023-04-18,0,0.028,0.002,12.434,66.888,66,85.948,18.004,19.742,19.692,25.464,28.024,25.33,11.788,12.322,15.682,0.194,0.124,0.112,0,0,3,0.14,0.01,62.17,0,0,4
-64.2122387,-34.19384899,2020-03-10,2,0.038,11.106,0.238,54.826,67.062,63.976,19.246,22.008,24.288,27.804,30.266,32.496,11.768,14.806,17.324,0.162,0.1,0.074,0,2,0,0.19,55.53,1.19,0,1,0
-64.21131507,-25.01869307,2020-06-19,1,0.79,0.006,0.142,66.524,54.288,51.09,12.204,17.61,14.202,19.21,26.036,22.818,6.968,11.6,8.292,1.628,2.008,2.144,1,0,0,3.95,0.03,0.71,0,0,0
