LON,LAT,rating_date,score,WS2M,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ID
-65.12532308,-25.95187401,2021-04-07,1,2.48,17.51,21.5,14.67,8.7,83.06,8
-65.12532308,-25.95187401,2021-04-07,1,2.16,16.23,20.78,13.19,3.08,86.31,7
-65.12532308,-25.95187401,2021-04-07,1,2.6,17.27,22.36,13.05,2.82,86.62,6
-65.12532308,-25.95187401,2021-04-07,1,2.7,20.19,26.22,16.11,6.1,86.5,5
-65.12532308,-25.95187401,2021-04-07,1,2.04,16.53,21.49,13.55,2.15,79.06,4
-65.12532308,-25.95187401,2021-04-07,1,1.61,16.65,22.05,12.28,0.02,83.88,3
-65.12532308,-25.95187401,2021-04-07,1,2,17.56,21.94,13.15,300.66,90.75,2
-65.12532308,-25.95187401,2021-04-07,1,3.03,20.5,25.23,16.73,205.26,90.38,1
-65.088592,-25.926937,2022-06-09,1,2.32,15.98,22.97,11.17,0,79.62,15
-65.088592,-25.926937,2022-06-09,1,1.68,15.54,22.48,10.05,0.02,79.31,14
-65.088592,-25.926937,2022-06-09,1,1.41,13.57,17.39,10.69,0.03,86.81,13
-65.088592,-25.926937,2022-06-09,1,1.9,11.96,15.62,8.25,0.34,82.62,12
-65.088592,-25.926937,2022-06-09,1,1.26,8.5,13.28,5.56,1.04,85.56,11
-65.088592,-25.926937,2022-06-09,1,1.32,9.51,16.29,4.87,0.06,76.38,10
-65.088592,-25.926937,2022-06-09,1,1.53,9.63,17.21,5.29,0,68.38,9
-65.088592,-25.926937,2022-06-09,1,2.11,9.37,17.78,3.47,0,62.94,8
-65.088592,-25.926937,2022-06-09,1,1.75,13.2,22.4,6.8,0,52.75,7
-65.088592,-25.926937,2022-06-09,1,1.65,13.68,21.36,8.26,0,55.5,6
-65.088592,-25.926937,2022-06-09,1,1.57,13.94,22.34,9.05,0,60.69,5
-65.088592,-25.926937,2022-06-09,1,1.53,15.63,24.48,9.31,0,58.94,4
-65.088592,-25.926937,2022-06-09,1,1.29,17.54,25.48,11.6,0,63.81,3
-65.088592,-25.926937,2022-06-09,1,2,17.52,25.4,12.7,0.12,73.81,2
-65.088592,-25.926937,2022-06-09,1,1.96,12.14,17.8,9.05,0.04,82.75,1
-65.081003,-25.980183,2023-03-28,0,2.52,22.58,29.12,16.87,0,77.31,15
-65.081003,-25.980183,2023-03-28,0,2.25,22.73,29.28,17.4,10.09,80.38,14
-65.081003,-25.980183,2023-03-28,0,2.33,22.6,29.43,16.34,3.55,66.88,13
-65.081003,-25.980183,2023-03-28,0,1.27,23.67,30.53,17.3,0.07,67.44,12
-65.081003,-25.980183,2023-03-28,0,1.19,23.77,28.26,19.27,0,69.38,11
-65.081003,-25.980183,2023-03-28,0,2.34,24.48,30.39,19.62,0,70.31,10
-65.081003,-25.980183,2023-03-28,0,3.4,24.85,31.05,19.94,4.14,78.31,9
-65.081003,-25.980183,2023-03-28,0,2.09,23.62,28.02,20.19,9.48,82.44,8
-65.081003,-25.980183,2023-03-28,0,1.82,24.08,30.6,19.02,0,73.5,7
